iter	Passed	Remaining
595	2547	1726
596	2550	1721
597	2554	1717
598	2557	1712
599	2561	1707
600	2563	1702
601	2565	1696
602	2567	1690
603	2574	1687
604	2576	1682
605	2578	1676
606	2638	1708
607	2640	1702
608	2642	1696
609	2644	1690
610	2647	1685
611	2649	1679
612	2653	1675
613	2655	1669
614	2657	1663
615	2659	1657
616	2664	1653
617	2666	1648
618	2668	1642
619	2674	1639
620	2676	1633
621	2680	1628
622	2682	1623
623	2684	1617
624	2685	1611
625	2688	1606
626	2692	1601
627	2696	1597
628	2700	1592
629	2703	1587
630	2705	1582
631	2710	1578
632	2712	1572
633	2762	1594
634	2764	1588
635	2766	1583
636	2768	1577
637	2770	1571
638	2775	1568
639	2777	1562
640	2779	1556
641	2781	1550
642	2783	1545
643	2785	1539
644	2789	1535
645	2791	1529
646	2794	1524
647	2796	1518
648	2798	1513
649	2799	1507
650	2815	1509
651	2817	1504
652	2821	1499
653	2824	1494
654	2826	1488
655	2828	1483
656	2830	1477
657	2832	1472
658	2834	1466
659	2836	1461
660	2839	1456
661	2843	1451
662	2851	1449
663	2854	1444
664	2856	1438
665	2858	1433
666	2860	1428
667	2872	1427
668	2874	1422
669	2876	1417
670	2878	1411
671	2883	1407
672	2885	1402
673	2887	1396
674	2889	1391
675	2891	1385
676	2893	1380
677	2895	1375
678	2898	1370
679	2900	1364
680	2902	1359
681	2904	1354
682	2906	1348
683	2908	1343
684	2912	1339
685	2914	1334
686	2916	1328
687	2918	1323
688	2920	1318
689	2931	1316
690	2933	1311
691	2936	1306
692	2939	1302
693	2945	1298
694	2948	1293
695	2950	1288
696	2961	1287
697	2963	1282
698	2965	1276
699	2967	1271
700	2975	1269
701	2977	1264
702	2980	1259
703	2982	1253
704	2984	1248
705	2986	1243
706	2993	1240
707	2995	1235
708	2997	1230
709	2999	1225
710	3001	1220
711	3006	1215
712	3008	1210
713	3028	1213
714	3031	1208
715	3043	1207
716	3045	1202
717	3048	1197
718	3050	1192
719	3054	1187
720	3056	1182
721	3058	1177
722	3060	1172
723	3062	1167
724	3064	1162
725	3068	1158
726	3085	1158
727	3087	1153
728	3088	1148
729	3090	1143
730	3092	1137
731	3094	1132
732	3095	1127
733	3100	1123
734	3102	1118
735	3105	1113
736	3107	1109
737	3110	1104
738	3113	1099
739	3117	1095
740	3120	1090
741	3122	1085
742	3125	1081
743	3181	1094
744	3183	1089
745	3185	1084
746	3187	1079
747	3190	1074
748	3193	1070
749	3197	1065
750	3200	1061
751	3202	1056
752	3204	1050
753	3205	1045
754	3207	1040
755	3209	1035
756	3214	1031
757	3216	1026
758	3218	1022
759	3220	1017
760	3222	1012
761	3228	1008
762	3230	1003
763	3232	998
764	3234	993
765	3236	988
766	3237	983
767	3239	978
768	3245	974
769	3247	969
770	3248	964
771	3263	963
772	3265	958
773	3267	953
774	3269	949
775	3270	944
776	3272	939
777	3276	934
778	3281	930
779	3283	926
780	3286	921
781	3288	916
782	3294	913
783	3297	908
784	3310	906
785	3313	902
786	3316	897
787	3318	892
788	3322	888
789	3324	883
790	3326	878
791	3328	874
792	3330	869
793	3332	864
794	3334	859
795	3338	855
796	3341	851
797	3343	846
798	3345	841
799	3347	836
800	3387	841
801	3389	836
802	3391	832
803	3394	827
804	3421	828
805	3423	824
806	3428	819
807	3430	815
808	3432	810
809	3436	806
810	3438	801
811	3440	796
812	3442	791
813	3444	787
814	3446	782
815	3448	777
816	3502	784
817	3504	779
818	3507	775
819	3508	770
820	3552	774
821	3554	769
822	3556	764
823	3560	760
824	3562	755
825	3566	751
826	3568	746
827	3570	741
828	3572	736
829	3574	732
830	3578	727
831	3584	723
832	3587	719
833	3591	714
834	3594	710
835	3599	706
836	3608	702
837	3610	698
838	3615	693
839	3617	688
840	3618	684
841	3620	679
842	3624	674
843	3626	670
844	3632	666
845	3635	661
846	3639	657
847	3646	653
848	3648	648
849	3650	644
850	3652	639
851	3655	634
852	3656	630
853	3661	625
854	3663	621
855	3665	616
856	3667	611
857	3669	607
858	3671	602
859	3687	600
860	3700	597
861	3702	592
862	3705	588
863	3708	583
864	3710	579
865	3712	574
866	3714	569
867	3716	565
868	3718	560
869	3720	555
870	3725	551
871	3727	547
872	3729	542
873	3768	543
874	3773	539
875	3775	534
876	3777	529
877	3779	525
878	3781	520
879	3783	515
880	3785	511
881	3789	506
882	3791	502
883	3793	497
884	3795	493
885	3796	488
886	3798	483
887	3800	479
888	3804	475
889	3853	476
890	3855	471
891	3857	467
892	3859	462
893	3861	457
894	3863	453
895	3865	448
896	3867	444
897	3870	439
898	3873	435
899	3876	430
900	3878	426
901	3881	421
902	3885	417
903	3887	412
904	3889	408
905	3891	403
906	3893	399
907	3895	394
908	3949	395
909	3952	390
910	3955	386
911	3957	381
912	3960	377
913	3962	372
914	3965	368
915	3967	363
916	3968	359
917	3970	354
918	3972	350
919	3974	345
920	3979	341
921	3981	336
922	3983	332
923	3985	327
924	4028	326
925	4030	322
926	4032	317
927	4034	313
928	4036	308
929	4038	304
930	4042	299
931	4044	295
932	4046	290
933	4048	286
934	4050	281
935	4051	277
936	4053	272
937	4055	268
938	4060	263
939	4062	259
940	4118	258
941	4136	254
942	4138	250
943	4140	245
944	4142	241
945	4144	236
946	4146	232
947	4148	227
948	4150	223
949	4154	218
950	4156	214
951	4158	209
952	4161	205
953	4163	200
954	4165	196
955	4167	191
956	4169	187
957	4174	183
958	4176	178
959	4178	174
960	4180	169
961	4182	165
962	4184	160
963	4188	156
964	4190	151
965	4192	147
966	4194	143
967	4196	138
968	4198	134
969	4200	129
970	4287	128
971	4289	123
972	4291	119
973	4373	116
974	4375	112
975	4379	107
976	4381	103
977	4385	98
978	4387	94
979	4389	89
980	4391	85
981	4393	80
982	4395	76
983	4397	71
984	4403	67
985	4405	62
986	4407	58
987	4409	53
988	4411	49
989	4413	44
990	4417	40
991	4419	35
992	4421	31
993	4425	26
994	4427	22
995	4429	17
996	4433	13
997	4435	8
998	4438	4
999	4440	0
